Panelist ID,Panelist Type,Combined Pre-Tax Income of HH,Family Size,HH_RACE,Type of Residential Possession,COUNTY,HH_AGE,HH_EDU,HH_OCC,Age Group Applied to Male HH,Education Level Reached by Male HH,Occupation Code of Male HH,Male Working Hour Code,MALE_SMOKE,Age Group Applied to Female HH,Education Level Reached by Female HH,Occupation Code of Female HH,Female Working Hour Code,FEM_SMOKE,Number of Dogs,Number of Cats,Children Group Code,Marital Status,Language,Number of TVs Used by HH,Number of TVs Hooked to Cable,Year,HISP_FLAG,HISP_CAT,HH Head Race (RACE2),HH Head Race (RACE3),Microwave Owned by HH,ZIPCODE,FIPSCODE,market based upon zipcode,IRI Geography Number,EXT_FACT
1100016,6,3,3,1,2,C,6,3,10,6,2,10,4,0,6,3,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1100032,0,5,2,1,2,C,5,7,6,7,9,11,7,.,5,7,6,3,0,0,2,3,1,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1100057,0,10,2,1,2,C,6,6,4,6,4,10,4,0,6,6,4,3,0,1,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1100156,6,7,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1100180,6,11,2,1,2,C,5,5,1,5,6,6,3,1,5,5,1,3,0,1,1,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1100198,0,5,2,1,2,C,6,5,10,6,5,10,4,0,6,5,10,4,0,0,1,8,2,.,2,2,3,0,.,1,1,.,1201,25003,1,1,1
1100214,0,7,1,1,2,C,6,5,4,7,9,11,7,.,6,5,4,3,0,1,2,8,3,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1100248,6,1,1,1,2,C,6,4,13,7,9,11,7,.,6,4,13,1,0,0,0,8,4,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1100255,0,4,1,1,2,C,6,4,13,7,9,11,7,.,6,4,13,5,0,0,0,8,4,.,5,4,3,0,.,1,1,1,1201,25003,1,1,1
1100321,0,3,1,1,2,C,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1100347,0,1,1,1,1,C,6,1,13,7,9,11,7,.,6,1,13,1,0,0,0,8,4,.,1,1,3,.,.,.,1,.,1201,25003,1,1,1
1100354,0,9,2,1,2,C,5,6,13,6,7,1,2,0,5,6,13,1,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1100362,0,4,1,1,1,C,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,.,2,2,3,0,.,1,1,1,1226,25003,1,1,1
1100404,0,11,2,1,2,C,6,6,10,6,7,10,4,0,6,6,10,4,1,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1100412,0,2,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1100479,0,7,2,1,2,C,6,6,10,6,5,10,4,0,6,6,10,4,0,1,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1100503,6,6,2,1,2,C,6,4,13,6,6,13,1,0,6,4,13,1,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1100545,0,10,4,1,2,C,5,4,2,5,3,2,3,0,5,4,2,3,0,0,0,8,2,.,5,3,3,0,.,1,1,1,1201,25003,1,1,1
1100560,0,8,2,1,2,C,5,6,9,5,7,7,3,0,5,6,9,2,0,0,1,8,2,.,2,1,3,.,.,.,5,1,1201,25003,1,1,1
1100628,6,6,2,1,1,C,6,4,4,6,4,10,4,1,6,4,4,3,0,1,1,8,2,.,2,2,3,.,.,.,1,1,1201,25003,1,1,1
1100685,0,11,2,1,2,C,5,6,1,6,6,10,4,0,5,6,1,3,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1100743,0,11,2,1,2,C,5,6,4,5,6,7,3,1,5,6,4,3,0,0,0,8,2,.,5,5,3,0,.,1,1,1,1201,25003,1,1,1
1100750,0,6,2,1,2,C,5,6,10,6,6,10,4,1,5,6,10,4,1,0,1,8,2,.,2,2,3,0,.,1,1,1,1237,25003,1,1,1
1100784,0,1,1,3,1,C,5,6,13,7,9,11,7,.,5,6,13,1,0,0,0,8,3,1,4,4,3,1,5,97,1,1,1201,25003,1,1,1
1100800,6,2,1,1,1,C,6,6,10,6,6,10,4,0,7,9,11,7,.,0,0,8,1,.,1,1,3,0,.,5,5,1,1201,25003,1,1,1
1101055,0,10,2,1,2,C,5,5,10,6,5,10,4,0,5,5,10,4,0,0,1,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1101089,0,6,3,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,1,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1101147,0,5,4,1,2,C,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1101162,0,10,2,1,2,C,6,8,10,6,8,10,4,0,6,8,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1101238,5,5,2,1,2,C,6,4,4,6,4,10,4,0,6,4,4,2,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1101253,6,9,3,1,2,C,5,4,13,5,5,13,1,0,5,4,13,1,0,0,1,8,2,.,3,3,3,0,.,2,2,1,1201,25003,1,1,1
1101279,6,6,2,1,2,C,6,3,10,6,5,10,4,0,6,3,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1101337,6,5,1,1,2,C,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1101386,6,1,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,1,0,8,4,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1101402,0,7,1,1,2,C,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,.,3,2,3,0,.,1,1,1,1201,25003,1,1,1
1101469,6,1,2,1,1,C,4,4,13,4,4,13,1,0,4,4,13,1,0,0,1,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1101477,0,6,1,1,2,C,6,7,10,7,9,11,7,.,6,7,10,4,1,1,0,8,3,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1101519,6,7,3,1,2,C,5,4,10,5,4,10,4,0,5,4,10,4,0,0,0,2,2,.,5,5,3,0,.,1,1,1,1201,25003,1,1,1
1101626,5,9,1,1,2,C,5,8,1,7,9,11,7,.,5,8,1,3,0,1,0,8,1,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1101642,6,6,2,1,1,C,4,4,2,4,3,10,4,.,4,4,2,3,1,1,1,8,1,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1101709,0,8,1,1,2,C,4,6,1,7,9,11,7,.,4,6,1,3,0,0,0,8,5,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1101758,0,8,2,1,2,C,5,6,4,5,6,7,2,0,5,6,4,2,0,0,1,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1101766,0,4,2,1,2,C,6,7,10,6,8,10,4,0,6,7,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1102012,6,6,2,1,2,C,6,7,10,7,9,11,7,.,6,7,10,4,0,1,2,8,4,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1102046,0,7,2,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,1,0,1,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1102202,5,9,2,1,2,C,5,4,4,5,4,10,4,0,5,4,4,3,0,2,1,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1102236,5,7,1,1,2,C,6,6,4,7,9,11,7,.,6,6,4,3,0,1,2,8,4,.,1,1,3,0,.,1,1,1,1226,25003,1,1,1
1102277,0,5,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,2,1,3,.,.,.,1,1,1201,25003,1,1,1
1102285,0,6,2,1,2,C,6,8,10,6,3,10,4,0,6,8,10,4,0,0,0,8,2,1,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1102293,0,7,1,1,2,C,6,7,10,7,9,11,7,.,6,7,10,4,0,0,0,8,4,1,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1102368,0,5,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,1,3,3,3,1,2,1,1,1,1201,25003,1,1,1
1102384,0,6,1,1,2,C,6,8,3,7,9,11,7,.,6,8,3,3,0,0,3,8,4,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1102491,0,6,2,1,2,C,6,6,10,6,4,10,4,0,6,6,10,4,0,0,0,8,2,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1102525,0,3,1,1,2,C,6,4,13,7,9,11,7,.,6,4,13,1,0,0,0,8,4,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1102624,0,1,1,1,1,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,1,8,4,1,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1102640,0,6,4,1,2,C,5,4,8,5,4,6,3,0,5,4,8,2,1,0,0,8,2,.,3,3,3,.,.,.,1,1,1201,25003,1,1,1
1102772,0,8,2,1,2,C,4,6,10,4,5,6,3,0,4,6,10,3,0,1,1,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1103069,0,2,2,1,2,C,6,6,10,6,6,10,4,1,6,6,10,4,0,0,0,8,5,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1103101,0,6,1,1,2,C,4,4,7,4,4,7,3,0,7,9,11,7,.,0,4,8,1,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1103127,0,4,2,1,2,C,6,6,3,6,4,9,3,0,6,6,3,2,0,0,2,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1103135,0,2,2,1,1,C,6,3,13,6,3,10,4,0,6,3,13,5,0,0,2,8,2,1,1,2,3,0,.,1,1,.,1201,25003,1,1,1
1103234,0,8,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1103283,0,5,1,1,1,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1103440,0,9,2,1,2,C,5,5,1,5,5,1,3,0,5,5,1,3,0,1,0,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1103614,0,3,2,1,2,C,6,5,10,7,9,11,7,.,6,5,10,4,0,0,2,8,4,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1103747,0,11,2,1,2,C,5,4,4,5,6,6,3,0,5,4,4,2,0,1,0,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1103895,0,6,2,1,2,C,6,4,10,6,5,10,4,0,6,4,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1103911,5,5,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1103986,6,10,3,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,5,5,3,0,.,1,1,1,1201,25003,1,1,1
1104018,0,6,4,1,2,C,5,4,4,5,4,6,3,0,5,4,4,3,0,0,0,8,2,.,1,1,3,.,.,.,1,1,1201,25003,1,1,1
1104042,0,7,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,1,0,0,8,2,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1104133,0,3,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,1,0,0,8,3,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1104182,6,11,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1104208,0,10,2,1,2,C,5,5,10,5,5,10,4,0,5,5,10,4,0,0,1,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1104224,0,1,4,1,2,C,5,8,13,6,8,1,3,.,5,8,13,1,.,0,0,8,2,.,1,1,3,.,.,.,1,1,1201,25003,1,1,1
1104315,0,8,2,1,2,C,6,7,10,6,8,10,4,0,6,7,10,4,0,0,0,8,2,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1104406,0,9,2,1,2,C,6,4,13,6,8,10,4,0,6,4,13,5,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1104414,6,1,2,1,1,C,6,4,13,7,9,11,7,.,6,4,13,1,1,1,0,8,4,.,3,4,3,0,.,1,1,1,1201,25003,1,1,1
1104612,0,4,1,1,2,C,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,3,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1104687,0,8,2,1,2,C,6,6,1,6,7,10,4,0,6,6,1,2,1,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1104869,0,8,2,1,2,C,5,7,10,6,8,10,4,0,5,7,10,4,0,2,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1104919,0,8,1,1,2,C,6,7,10,7,9,11,7,.,6,7,10,4,0,0,0,8,1,1,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1104935,0,6,1,1,2,C,6,5,10,7,9,11,7,.,6,5,10,4,0,1,0,8,4,.,2,1,3,0,.,1,1,1,1225,25003,1,1,1
1104968,0,8,3,1,2,C,5,4,8,6,4,7,3,0,5,4,8,3,0,1,1,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1105080,0,3,1,1,1,C,5,4,9,7,9,11,7,.,5,4,9,2,0,0,0,8,3,1,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1105122,0,11,2,1,2,C,6,6,10,6,8,10,4,0,6,6,10,4,0,0,1,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1105171,0,10,2,1,1,C,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1105213,6,5,1,1,2,C,5,3,10,7,9,11,7,.,5,3,10,4,1,0,4,8,1,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1105239,0,9,2,1,2,C,5,8,10,6,8,10,4,0,5,8,10,4,0,0,2,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1105254,0,4,1,1,2,C,6,4,13,7,9,11,7,.,6,4,13,5,0,0,0,8,4,.,1,1,3,0,.,6,6,.,1201,25003,1,1,1
1105452,0,1,1,1,1,C,6,2,10,7,9,11,7,.,6,2,10,4,0,0,0,8,4,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1105569,0,11,2,1,2,C,5,4,1,5,4,9,3,0,5,4,1,3,0,0,0,8,2,.,3,3,3,0,.,6,6,1,1201,25003,1,1,1
1105726,0,11,2,1,2,C,5,7,1,5,5,6,3,0,5,7,1,3,0,0,0,8,2,.,4,3,3,0,.,1,1,1,1201,25003,1,1,1
1105759,0,10,1,1,2,C,6,6,1,7,9,11,7,.,6,6,1,3,0,0,0,8,3,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1105775,0,6,2,1,2,C,6,6,10,6,8,10,4,0,6,6,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1105809,5,11,2,1,2,C,5,7,1,5,8,10,4,0,5,7,1,2,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1105833,0,6,2,1,2,C,6,6,13,6,7,10,4,0,6,6,13,5,0,0,0,8,2,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1105965,6,10,2,1,2,C,5,4,10,5,7,10,4,0,5,4,10,4,0,0,1,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1105999,0,6,1,1,2,C,6,6,13,7,9,11,7,.,6,6,13,1,0,0,0,8,4,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1106229,0,7,3,1,2,C,5,6,2,5,4,10,4,0,5,6,2,3,0,1,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1106294,0,7,2,1,2,C,6,6,7,6,5,10,4,0,6,6,7,2,0,0,0,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1106393,0,11,2,1,2,C,6,6,13,7,9,11,7,.,6,6,13,1,0,0,0,8,4,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1106567,0,5,6,1,1,C,5,4,0,5,4,7,3,.,5,4,1,3,.,1,0,8,0,.,2,2,3,.,.,.,1,.,1201,25003,1,1,1
1106575,6,8,2,1,2,C,5,7,1,7,9,11,7,.,5,7,1,3,0,1,0,8,3,.,4,4,3,0,.,1,1,1,1235,25003,1,1,1
1106583,0,11,3,1,2,C,5,4,13,6,3,10,4,.,5,4,13,5,0,1,0,8,2,1,2,2,3,0,.,1,1,1,1266,25003,1,1,1
1106781,0,1,2,1,2,C,5,4,13,7,9,11,7,.,5,4,13,1,0,0,0,8,3,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1106864,0,9,2,1,2,C,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,.,3,1,3,0,.,1,1,1,1201,25003,1,1,1
1106914,0,6,2,1,2,C,6,3,10,6,3,10,4,0,6,3,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1226,25003,1,1,1
1107011,0,11,2,1,2,C,5,5,1,5,6,10,4,0,5,5,1,2,0,0,0,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1107136,6,7,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,1,2,3,3,0,.,1,1,1,1201,25003,1,1,1
1107169,0,1,1,1,1,C,6,6,10,7,9,11,7,.,6,6,10,4,0,0,3,8,4,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1107235,0,9,2,1,2,C,5,4,10,5,4,3,3,0,5,4,10,4,0,1,2,8,2,.,3,3,3,0,.,1,1,1,1223,25003,1,1,1
1107243,0,6,1,1,2,C,4,4,6,7,9,11,7,.,4,4,6,3,0,0,0,8,3,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1107250,0,6,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1107318,0,7,3,1,2,C,6,4,10,6,5,10,4,0,6,4,10,4,0,0,1,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1107359,0,7,1,1,2,C,5,4,9,7,9,11,7,.,5,4,9,3,0,0,0,8,3,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1107367,0,6,2,1,2,C,5,5,4,6,5,10,4,0,5,5,4,2,0,0,0,8,2,1,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1107391,0,7,2,1,2,C,6,4,7,6,8,10,4,0,6,4,7,2,0,0,2,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1107417,0,6,3,1,2,C,6,6,13,6,7,10,4,0,6,6,13,5,1,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1107516,6,4,2,1,2,C,5,4,8,5,2,10,4,1,5,4,8,2,1,0,0,8,2,.,3,3,3,0,.,6,6,1,1201,25003,1,1,1
1107581,0,6,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1107649,0,5,2,1,2,C,6,4,10,6,4,10,4,1,6,4,10,4,0,0,0,8,2,.,1,1,3,.,.,.,1,1,1201,25003,1,1,1
1107847,6,5,6,1,1,C,4,3,13,4,4,3,3,.,4,3,13,1,.,0,0,8,0,.,1,1,3,.,.,.,1,.,1201,25003,1,1,1
1107862,0,5,2,1,2,C,5,5,1,6,4,13,1,0,5,5,1,2,0,0,0,8,2,.,1,1,3,0,.,1,1,.,1201,25003,1,1,1
1107920,6,7,2,1,2,C,6,4,10,6,6,10,4,0,6,4,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1107953,0,5,2,1,2,C,6,5,10,6,4,10,4,1,6,5,10,4,0,0,1,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1107961,0,8,4,1,2,C,5,5,1,5,5,1,3,0,5,5,1,3,0,0,1,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1108043,0,8,1,1,2,C,6,7,10,7,9,11,7,.,6,7,10,4,0,0,1,8,4,.,5,5,3,0,.,1,1,1,1201,25003,1,1,1
1108084,6,4,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1108225,5,12,2,1,2,C,4,4,3,4,4,3,3,0,4,4,3,3,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1108266,0,9,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,1,0,8,2,.,3,3,3,0,.,1,1,1,1226,25003,1,1,1
1108308,0,11,2,1,2,C,6,6,10,6,8,1,3,0,6,6,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1108316,0,11,2,1,2,C,5,8,2,5,8,2,3,0,5,8,2,3,0,1,0,8,2,.,3,3,3,0,.,1,1,1,1226,25003,1,1,1
1108415,0,5,2,1,2,C,5,8,10,5,8,10,4,0,5,8,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1108456,0,10,3,1,2,C,5,4,9,5,3,8,3,1,5,4,9,3,1,1,0,2,2,.,2,1,3,0,.,1,1,1,1201,25003,1,1,1
1108464,0,8,3,1,2,C,4,6,2,4,6,9,3,.,4,6,2,3,0,3,0,8,3,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1108480,0,5,2,1,1,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1108514,5,6,3,1,2,C,6,4,13,6,7,10,4,0,6,4,13,1,0,0,0,8,2,.,4,4,3,0,.,1,1,1,1226,25003,1,1,1
1108670,0,5,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1108746,6,5,1,1,2,C,6,7,10,6,7,10,4,0,7,9,11,7,.,0,1,8,1,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1108795,0,5,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,1,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1108829,0,3,3,1,2,C,6,6,13,7,9,11,7,.,6,6,13,5,0,0,0,8,1,1,3,2,3,0,.,1,1,1,1201,25003,1,1,1
1108878,0,6,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1108886,0,6,2,1,2,C,5,6,1,5,4,10,4,.,5,6,1,2,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1108910,0,11,2,1,2,C,5,7,1,5,5,10,4,0,5,7,1,3,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1108951,5,9,6,1,2,C,4,7,1,5,7,1,3,0,4,7,1,2,0,1,0,3,2,.,1,1,3,0,.,1,1,1,1226,25003,1,1,1
1109108,0,6,1,1,2,C,6,3,10,7,9,11,7,.,6,3,10,4,1,0,0,8,4,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1109165,6,2,1,1,2,C,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,1,2,2,3,0,.,1,1,.,1201,25003,1,1,1
1109272,0,6,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1109306,5,5,1,1,2,C,6,6,10,6,6,10,4,0,7,9,11,7,.,0,0,8,4,.,1,1,3,0,.,1,1,1,1201,25003,1,1,1
1109447,0,5,1,1,1,C,5,6,4,7,9,11,7,.,5,6,4,3,1,0,0,8,3,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1109462,0,10,2,1,2,C,6,7,10,6,8,3,3,0,6,7,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1109488,0,10,2,1,2,C,6,7,10,6,7,10,4,0,6,7,10,4,0,0,1,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1109595,0,9,3,1,2,C,5,6,4,5,5,10,4,0,5,6,4,3,0,0,2,8,0,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1109603,0,12,2,1,2,C,6,4,4,6,7,10,4,0,6,4,4,3,0,0,0,8,2,.,6,5,3,0,.,1,1,1,1201,25003,1,1,1
1109629,0,8,4,1,2,C,4,7,1,5,4,6,3,1,4,7,1,3,0,1,0,3,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1109728,0,8,2,1,2,C,5,4,13,5,4,2,3,0,5,4,13,1,0,0,0,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1109736,0,11,2,1,2,C,4,8,1,7,9,11,7,.,4,8,1,3,0,0,0,8,3,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1109835,0,9,2,1,2,C,5,4,2,5,4,3,2,0,5,4,2,2,0,0,0,8,2,1,4,2,3,0,.,1,1,1,1226,25003,1,1,1
1109868,5,5,2,1,1,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,1,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1109892,0,9,3,1,2,C,5,4,1,5,4,7,2,1,5,4,1,3,0,0,0,8,2,.,3,2,3,0,.,1,1,1,1201,25003,1,1,1
1109942,0,1,1,1,1,C,6,3,13,7,9,11,7,.,6,3,13,5,0,0,0,8,4,.,1,1,3,0,.,1,1,.,1201,25003,1,1,1
1110072,6,10,2,1,2,C,5,4,13,6,4,3,3,0,5,4,13,5,1,0,0,8,2,.,4,4,3,0,.,1,1,1,1201,25003,1,1,1
1110205,0,4,1,3,2,C,6,5,10,7,9,11,7,.,6,5,10,4,0,0,0,8,4,1,2,2,3,1,7,97,1,1,1201,25003,1,1,1
1110262,0,4,1,1,2,C,6,6,10,6,6,10,4,0,7,9,11,7,.,0,0,8,4,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1110346,0,10,3,1,2,C,5,5,10,5,5,10,4,0,7,9,11,7,.,4,0,8,4,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
1110379,0,6,2,1,2,C,6,3,13,6,4,10,4,0,6,3,13,5,0,0,1,8,2,.,2,2,3,0,.,1,1,1,1201,25003,1,1,1
1110403,0,8,2,1,2,C,6,7,10,6,7,10,4,0,7,9,11,7,.,2,0,8,4,.,2,2,3,.,.,.,1,1,1201,25003,1,1,1
1110437,0,3,1,1,1,C,6,2,10,7,9,11,7,.,6,2,10,4,0,0,0,8,4,.,1,1,3,0,.,1,1,.,1201,25003,1,1,1
1110445,0,7,1,1,2,C,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,.,3,3,3,0,.,1,1,1,1201,25003,1,1,1
